Plan_SOC_ID,Plan_ID,Plan_Name,Plan_Type,Product_Type,Customer_Type,Segment,Brand,Operator,Plan_Rental,Plan_Rental_GST,Base_Tariff,Validity_Days,Voice_Benefit,Data_Benefit,Daily_Data_Limit,Total_Data_Limit,Data_Unit,SMS_Benefit,SMS_Limit,FUP_Limit,FUP_Speed,Data_Rollover,Night_Data,Weekend_Data,Video_Benefit,5G_Eligible,4G_Eligible,OTT_Benefit,OTT_Platform,OTTS_Detail,Roaming_Benefit,ISD_Benefit,Additional_Benefits,Additional_Information,Activation_Channel,Activation_ViApp,Activation_Website,Activation_SCRM,Activation_TAT,Recharge_Channel,Tagging_Enquiry,Tagging_Request,Tagging_Complaint,Go_Live_Circle,Circle_Count,Market,Go_Live_Date,Launch_Quarter,Active_Inactive,Plan_Status,Auto_Renewal,Pack_Closure_Date,Closure_Reason,Speed_Post_Limit,Created_Date,Last_Updated_Date,Plan_Brief
26100564,PLN-PRE-00001,Vi Hero Unlimited 99,Voice,Prepaid,Retail,Entry,Vi Hero Unlimited,Vodafone Idea,99,₹99.00 (GST Inclusive @18% | Base ₹83.90 + GST ₹15.10),₹99.00 (GST Inclusive @18% | Base ₹83.90 + GST ₹15.10),18,Pay-As-You-Go Calls,0.2GB Total (Full Validity),No Daily Cap (Total 0.2 GB Pool),0.2,GB,No SMS Benefit,0,0.2GB/Validity,64 Kbps,No,Not Included,Not Included,Vi Movies & TV Access (Video Streaming),No,Yes,No,No OTT Bundled,No OTT Subscription Bundled,Free National Roaming,Not Included,Vi Movies & TV Access,Vi Movies & TV Access,Call Center,Self-Activation via Vi App,Activation via Vi Website,Assisted Activation via Store CRM,Instant to 24 Hours,Retail Outlet | Cash,Plan/Benefit Enquiry | Balance & Validity Enquiry,Activation Request | Plan Change Request | OTT Activation Request,Network/Speed Complaint | Billing Complaint | Deactivation Complaint,"ANE, APR, BIH, DEL, GUJ, HAR, HP, J&K, KAR, KER, KOL, MAH, MPCG, MUM, NE, ORI, PUN, RAJ, ROB, TN, UPE, UPW, WB",23,Pan India,26-Oct-25,Q3 FY2025-26,Active,Live,Yes,Active - Not Closed,Not Applicable (Active Plan),64 Kbps,13-Aug-25,14-Jun-26,PAYG Calls | 0.2GB Total (Full Validity)
26101189,PLN-PRE-00002,Vi Hero Unlimited 149,Unlimited,Prepaid,Retail,Entry,Vi Hero Unlimited,Vodafone Idea,149,₹149.00 (GST Inclusive @18% | Base ₹126.27 + GST ₹22.73),₹149.00 (GST Inclusive @18% | Base ₹126.27 + GST ₹22.73),20,Unlimited Calls (Local+STD+NR),1GB/Day High-Speed Data,1 GB/Day,20,GB,100 SMS/Day,2000,1GB/Day,64 Kbps,No,Not Included,Not Included,Vi Movies & TV Access (Video Streaming),No,Yes,No,No OTT Bundled,No OTT Subscription Bundled,Free National Roaming,Not Included,Vi Movies & TV Access,Vi Movies & TV Access,Retail Outlet,Self-Activation via Vi App,Activation via Vi Website,Assisted Activation via Store CRM,Instant to 24 Hours,MyApp | UPI,Plan/Benefit Enquiry | Balance & Validity Enquiry,Activation Request | Plan Change Request | OTT Activation Request,Network/Speed Complaint | Billing Complaint | Deactivation Complaint,"ANE, APR, BIH, DEL, GUJ, HAR, HP, J&K, KAR, KER, KOL, MAH, MPCG, MUM, NE, ORI, PUN, RAJ, ROB, TN, UPE, UPW, WB",23,Pan India,01-Aug-25,Q2 FY2025-26,Active,Live,Yes,Active - Not Closed,Not Applicable (Active Plan),64 Kbps,24-Jun-25,18-Sep-25,UL Calls | 1GB/Day High-Speed Data | 100 SMS/Day
26101899,PLN-PRE-00003,Vi Hero Unlimited 179,Voice,Prepaid,Retail,Entry,Vi Hero Unlimited,Vodafone Idea,179,₹179.00 (GST Inclusive @18% | Base ₹151.69 + GST ₹27.31),₹179.00 (GST Inclusive @18% | Base ₹151.69 + GST ₹27.31),28,Unlimited Calls (Local+STD+NR),2GB Total (Full Validity),No Daily Cap (Total 2 GB Pool),2,GB,300 SMS (Full Validity),300,2GB/Validity,64 Kbps,No,Not Included,Not Included,Vi Movies & TV Access (Video Streaming),No,Yes,No,No OTT Bundled,No OTT Subscription Bundled,Free National Roaming,Not Included,Vi Movies & TV Access,Vi Movies & TV Access,Retail Outlet,Self-Activation via Vi App,Activation via Vi Website,Assisted Activation via Store CRM,Instant to 24 Hours,MyApp | Debit Card,Plan/Benefit Enquiry | Balance & Validity Enquiry,Activation Request | Plan Change Request | OTT Activation Request,Network/Speed Complaint | Billing Complaint | Deactivation Complaint,"ANE, APR, KAR, KER, TN",5,South,11-May-25,Q1 FY2025-26,Active,Live,Yes,Active - Not Closed,Not Applicable (Active Plan),64 Kbps,28-Feb-25,10-Apr-26,UL Calls | 2GB Total (Full Validity) | 300 SMS
26102796,PLN-PRE-00004,Vi Hero Unlimited 199,Unlimited,Prepaid,Retail,Mass,Vi Hero Unlimited,Vodafone Idea,199,₹199.00 (GST Inclusive @18% | Base ₹168.64 + GST ₹30.36),₹199.00 (GST Inclusive @18% | Base ₹168.64 + GST ₹30.36),23,Unlimited Calls (Local+STD+NR),1GB/Day High-Speed Data,1 GB/Day,23,GB,100 SMS/Day,2300,1GB/Day,64 Kbps,No,Not Included,Not Included,Vi Movies & TV Access (Video Streaming),No,Yes,No,No OTT Bundled,No OTT Subscription Bundled,Free National Roaming,Not Included,Vi Movies & TV Access,Vi Movies & TV Access,USSD *199#,Self-Activation via Vi App,Activation via Vi Website,Assisted Activation via Store CRM,Instant to 24 Hours,Third Party App (PhonePe/Paytm),Plan/Benefit Enquiry | Balance & Validity Enquiry,Activation Request | Plan Change Request | OTT Activation Request,Network/Speed Complaint | Billing Complaint | Deactivation Complaint,"ANE, APR, KAR, KER, TN",5,South,20-Jul-25,Q2 FY2025-26,Active,Live,No,Active - Not Closed,Not Applicable (Active Plan),64 Kbps,25-May-25,02-Mar-26,UL Calls | 1GB/Day High-Speed Data | 100 SMS/Day
26103313,PLN-PRE-00005,Vi Hero Unlimited 219,Unlimited,Prepaid,Retail,Mass,Vi Hero Unlimited,Vodafone Idea,219,₹219.00 (GST Inclusive @18% | Base ₹185.59 + GST ₹33.41),₹219.00 (GST Inclusive @18% | Base ₹185.59 + GST ₹33.41),28,Unlimited Calls (Local+STD+NR),1GB/Day High-Speed Data,1 GB/Day,28,GB,100 SMS/Day,2800,1GB/Day,64 Kbps,No,Not Included,Not Included,Vi Movies & TV Access (Video Streaming),No,Yes,No,No OTT Bundled,No OTT Subscription Bundled,Free National Roaming,Not Included,Vi Movies & TV Access,Vi Movies & TV Access,Retail Outlet,Self-Activation via Vi App,Activation via Vi Website,Assisted Activation via Store CRM,Instant to 24 Hours,MyApp | Debit Card,Plan/Benefit Enquiry | Balance & Validity Enquiry,Activation Request | Plan Change Request | OTT Activation Request,Network/Speed Complaint | Billing Complaint | Deactivation Complaint,"ANE, APR, BIH, DEL, GUJ, HAR, HP, J&K, KAR, KER, KOL, MAH, MPCG, MUM, NE, ORI, PUN, RAJ, ROB, TN, UPE, UPW, WB",23,Pan India,17-Oct-25,Q3 FY2025-26,Active,Live,No,Active - Not Closed,Not Applicable (Active Plan),64 Kbps,22-Sep-25,24-Feb-26,UL Calls | 1GB/Day High-Speed Data | 100 SMS/Day
26103444,PLN-PRE-00006,Vi Hero Unlimited 239,Unlimited,Prepaid,Retail,Mass,Vi Hero Unlimited,Vodafone Idea,239,₹239.00 (GST Inclusive @18% | Base ₹202.54 + GST ₹36.46),₹239.00 (GST Inclusive @18% | Base ₹202.54 + GST ₹36.46),28,Unlimited Calls (Local+STD+NR),1.5GB/Day High-Speed Data,1.5 GB/Day,42,GB,100 SMS/Day,2800,1.5GB/Day,64 Kbps,No,Not Included,Not Included,Vi Movies & TV Access (Video Streaming),No,Yes,No,No OTT Bundled,No OTT Subscription Bundled,Free National Roaming,Not Included,Vi Movies & TV Access,Vi Movies & TV Access,MyApp,Self-Activation via Vi App,Activation via Vi Website,Assisted Activation via Store CRM,Instant to 24 Hours,Website | Netbanking,Plan/Benefit Enquiry | Balance & Validity Enquiry,Activation Request | Plan Change Request | OTT Activation Request,Network/Speed Complaint | Billing Complaint | Deactivation Complaint,"ANE, APR, BIH, DEL, GUJ, HAR, HP, J&K, KAR, KER, KOL, MAH, MPCG, MUM, NE, ORI, PUN, RAJ, ROB, TN, UPE, UPW, WB",23,Pan India,11-Jun-24,Q1 FY2024-25,Active,Live,No,Active - Not Closed,Not Applicable (Active Plan),64 Kbps,16-Mar-24,04-Aug-26,UL Calls | 1.5GB/Day High-Speed Data | 100 SMS/Day
26103613,PLN-PRE-00007,Vi Hero Unlimited 249,Unlimited,Prepaid,Retail,Mass,Vi Hero Unlimited,Vodafone Idea,249,₹249.00 (GST Inclusive @18% | Base ₹211.02 + GST ₹37.98),₹249.00 (GST Inclusive @18% | Base ₹211.02 + GST ₹37.98),28,Unlimited Calls (Local+STD+NR),1.5GB/Day High-Speed Data,1.5 GB/Day,42,GB,100 SMS/Day,2800,1.5GB/Day,64 Kbps,No,Not Included,Not Included,Vi Movies & TV Access (Video Streaming),Yes,Yes,No,No OTT Bundled,No OTT Subscription Bundled,Free National Roaming,Not Included,Vi Movies & TV Access,Vi Movies & TV Access,MyApp,Self-Activation via Vi App,Activation via Vi Website,Assisted Activation via Store CRM,Instant to 24 Hours,UPI | Wallet,Plan/Benefit Enquiry | Balance & Validity Enquiry,Activation Request | Plan Change Request | OTT Activation Request,Network/Speed Complaint | Billing Complaint | Deactivation Complaint,"ANE, APR, BIH, DEL, GUJ, HAR, HP, J&K, KAR, KER, KOL, MAH, MPCG, MUM, NE, ORI, PUN, RAJ, ROB, TN, UPE, UPW, WB",23,Pan India,18-Apr-24,Q1 FY2024-25,Active,Live,No,Active - Not Closed,Not Applicable (Active Plan),64 Kbps,03-Apr-24,22-Nov-24,UL Calls | 1.5GB/Day High-Speed Data | 100 SMS/Day | Unlimited 5G
26104439,PLN-PRE-00008,Vi Hero Unlimited 299,Unlimited,Prepaid,Retail,Value,Vi Hero Unlimited,Vodafone Idea,299,₹299.00 (GST Inclusive @18% | Base ₹253.39 + GST ₹45.61),₹299.00 (GST Inclusive @18% | Base ₹253.39 + GST ₹45.61),28,Unlimited Calls (Local+STD+NR),1.5GB/Day High-Speed Data,1.5 GB/Day,42,GB,100 SMS/Day,2800,1.5GB/Day,64 Kbps,No,Not Included,Not Included,Vi Movies & TV Access (Video Streaming),Yes,Yes,Yes,Vi Movies & TV Basic,Bundled OTT: Vi Movies & TV Basic,Free National Roaming,Not Included,Bundled OTT Subscriptions | Vi Movies & TV Access,Bundled OTT Subscriptions | Vi Movies & TV Access,USSD *199#,Self-Activation via Vi App,Activation via Vi Website,Assisted Activation via Store CRM,Instant to 24 Hours,MyApp | UPI,Plan/Benefit Enquiry | Balance & Validity Enquiry,Activation Request | Plan Change Request | OTT Activation Request,Network/Speed Complaint | Billing Complaint | Deactivation Complaint,"ANE, APR, KAR, KER, TN",5,South,12-May-25,Q1 FY2025-26,Active,Live,Yes,Active - Not Closed,Not Applicable (Active Plan),64 Kbps,05-Mar-25,18-Jun-25,UL Calls | 1.5GB/Day High-Speed Data | 100 SMS/Day | Unlimited 5G
26104792,PLN-PRE-00009,Vi Hero Unlimited 349,Unlimited,Prepaid,Retail,Value,Vi Hero Unlimited,Vodafone Idea,349,₹349.00 (GST Inclusive @18% | Base ₹295.76 + GST ₹53.24),₹349.00 (GST Inclusive @18% | Base ₹295.76 + GST ₹53.24),28,Unlimited Calls (Local+STD+NR),2GB/Day High-Speed Data,2 GB/Day,56,GB,100 SMS/Day,2800,2GB/Day,64 Kbps,No,Unlimited Data 12AM-6AM,Not Included,Vi Movies & TV Access (Video Streaming),Yes,Yes,Yes,Disney+ Hotstar Mobile,Bundled OTT: Disney+ Hotstar Mobile,Free National Roaming,Not Included,Bundled OTT Subscriptions | Vi Movies & TV Access,Bundled OTT Subscriptions | Vi Movies & TV Access,Retail Outlet,Self-Activation via Vi App,Activation via Vi Website,Assisted Activation via Store CRM,Instant to 24 Hours,Third Party App (PhonePe/Paytm),Plan/Benefit Enquiry | Balance & Validity Enquiry,Activation Request | Plan Change Request | OTT Activation Request,Network/Speed Complaint | Billing Complaint | Deactivation Complaint,"ANE, APR, BIH, DEL, GUJ, HAR, HP, J&K, KAR, KER, KOL, MAH, MPCG, MUM, NE, ORI, PUN, RAJ, ROB, TN, UPE, UPW, WB",23,Pan India,25-Mar-26,Q4 FY2025-26,Active,Live,Yes,Active - Not Closed,Not Applicable (Active Plan),64 Kbps,26-Feb-26,27-Mar-26,UL Calls | 2GB/Day High-Speed Data | 100 SMS/Day | Unlimited 5G
26105351,PLN-PRE-00010,Vi Hero Unlimited 399,Unlimited,Prepaid,Retail,Youth,Vi Hero Unlimited,Vodafone Idea,399,₹399.00 (GST Inclusive @18% | Base ₹338.14 + GST ₹60.86),₹399.00 (GST Inclusive @18% | Base ₹338.14 + GST ₹60.86),28,Unlimited Calls (Local+STD+NR),2.5GB/Day High-Speed Data,2.5 GB/Day,70,GB,100 SMS/Day,2800,2.5GB/Day,64 Kbps,No,Unlimited Data 12AM-6AM,Not Included,Vi Movies & TV Access (Video Streaming),Yes,Yes,Yes,Disney+ Hotstar Mobile + SonyLIV Mobile,Bundled OTT: Disney+ Hotstar Mobile + SonyLIV Mobile,Free National Roaming,Not Included,Bundled OTT Subscriptions | Vi Movies & TV Access,Bundled OTT Subscriptions | Vi Movies & TV Access,Retail Outlet,Self-Activation via Vi App,Activation via Vi Website,Assisted Activation via Store CRM,Instant to 24 Hours,MyApp | UPI,Plan/Benefit Enquiry | Balance & Validity Enquiry,Activation Request | Plan Change Request | OTT Activation Request,Network/Speed Complaint | Billing Complaint | Deactivation Complaint,"ANE, APR, BIH, DEL, GUJ, HAR, HP, J&K, KAR, KER, KOL, MAH, MPCG, MUM, NE, ORI, PUN, RAJ, ROB, TN, UPE, UPW, WB",23,Pan India,04-Sep-25,Q2 FY2025-26,Active,Live,No,Active - Not Closed,Not Applicable (Active Plan),64 Kbps,27-Jul-25,10-Nov-25,UL Calls | 2.5GB/Day High-Speed Data | 100 SMS/Day | Unlimited 5G
