Plan_Rental,Plan_Rental_GST,Plan_Type,Plan_Name,Go_Live_Date,Pack_Closure_Date,Active_Inactive,Go_Live_Circle,Plan_Brief,Plan_SOC_ID,Category,Category_Name,Category_Value,Plan_ID,Product_Type,Customer_Type,Segment,Brand,Operator,Validity_Days,Data_Benefit,Daily_Data_Limit,Total_Data_Limit,Data_Unit,Voice_Benefit,SMS_Benefit,SMS_Limit,5G_Eligible,4G_Eligible,OTT_Benefit,OTT_Platform,Roaming_Benefit,ISD_Benefit,Night_Data,Weekend_Data,Data_Rollover,Speed_Post_Limit,Activation_Channel,Recharge_Channel,Market,Circle_Count,Launch_Quarter,Closure_Reason,Plan_Status,Auto_Renewal,FUP_Limit,FUP_Speed,Additional_Benefits,Created_Date,Last_Updated_Date
99,₹99.00 (GST Inclusive @18% | Base ₹83.90 + GST ₹15.10),Voice,Vi Hero Unlimited 99,26-Oct-25,NA,Active,"ANE, APR, BIH, DEL, GUJ, HAR, HP, J&K, KAR, KER, KOL, MAH, MPCG, MUM, NE, ORI, PUN, RAJ, ROB, TN, UPE, UPW, WB",PAYG Calls | 0.2GB Total (Full Validity),26100564,1.Telco Benefits,1.Voice,Pay-As-You-Go Calls @ 1.5p/sec (Talktime ₹99),PLN-PRE-00001,Prepaid,Retail,Entry,Vi Hero Unlimited,Vodafone Idea,18,0.2GB Total (Full Validity),NA,0.2,GB,Pay-As-You-Go Calls,No SMS Benefit,0,No,Yes,No,NA,Free National Roaming,NA,NA,NA,No,64 Kbps,Call Center,Retail Outlet | Cash,Pan India,23,Q3 FY2025-26,NA,Live,Yes,0.2GB/Validity,64 Kbps,Vi Movies & TV Access,13-Aug-25,14-Jun-26
99,₹99.00 (GST Inclusive @18% | Base ₹83.90 + GST ₹15.10),Voice,Vi Hero Unlimited 99,26-Oct-25,NA,Active,"ANE, APR, BIH, DEL, GUJ, HAR, HP, J&K, KAR, KER, KOL, MAH, MPCG, MUM, NE, ORI, PUN, RAJ, ROB, TN, UPE, UPW, WB",PAYG Calls | 0.2GB Total (Full Validity),26100564,1.Telco Benefits,2.Data,0.2GB Data Pack (Validity Based),PLN-PRE-00001,Prepaid,Retail,Entry,Vi Hero Unlimited,Vodafone Idea,18,0.2GB Total (Full Validity),NA,0.2,GB,Pay-As-You-Go Calls,No SMS Benefit,0,No,Yes,No,NA,Free National Roaming,NA,NA,NA,No,64 Kbps,Call Center,Retail Outlet | Cash,Pan India,23,Q3 FY2025-26,NA,Live,Yes,0.2GB/Validity,64 Kbps,Vi Movies & TV Access,13-Aug-25,14-Jun-26
99,₹99.00 (GST Inclusive @18% | Base ₹83.90 + GST ₹15.10),Voice,Vi Hero Unlimited 99,26-Oct-25,NA,Active,"ANE, APR, BIH, DEL, GUJ, HAR, HP, J&K, KAR, KER, KOL, MAH, MPCG, MUM, NE, ORI, PUN, RAJ, ROB, TN, UPE, UPW, WB",PAYG Calls | 0.2GB Total (Full Validity),26100564,1.Telco Benefits,4.Validity,Pack Valid for 18 Days,PLN-PRE-00001,Prepaid,Retail,Entry,Vi Hero Unlimited,Vodafone Idea,18,0.2GB Total (Full Validity),NA,0.2,GB,Pay-As-You-Go Calls,No SMS Benefit,0,No,Yes,No,NA,Free National Roaming,NA,NA,NA,No,64 Kbps,Call Center,Retail Outlet | Cash,Pan India,23,Q3 FY2025-26,NA,Live,Yes,0.2GB/Validity,64 Kbps,Vi Movies & TV Access,13-Aug-25,14-Jun-26
99,₹99.00 (GST Inclusive @18% | Base ₹83.90 + GST ₹15.10),Voice,Vi Hero Unlimited 99,26-Oct-25,NA,Active,"ANE, APR, BIH, DEL, GUJ, HAR, HP, J&K, KAR, KER, KOL, MAH, MPCG, MUM, NE, ORI, PUN, RAJ, ROB, TN, UPE, UPW, WB",PAYG Calls | 0.2GB Total (Full Validity),26100564,1.Telco Benefits,5.FUP,"FUP Limit 0.2GB/Validity, Throttled to 64 Kbps Thereafter",PLN-PRE-00001,Prepaid,Retail,Entry,Vi Hero Unlimited,Vodafone Idea,18,0.2GB Total (Full Validity),NA,0.2,GB,Pay-As-You-Go Calls,No SMS Benefit,0,No,Yes,No,NA,Free National Roaming,NA,NA,NA,No,64 Kbps,Call Center,Retail Outlet | Cash,Pan India,23,Q3 FY2025-26,NA,Live,Yes,0.2GB/Validity,64 Kbps,Vi Movies & TV Access,13-Aug-25,14-Jun-26
99,₹99.00 (GST Inclusive @18% | Base ₹83.90 + GST ₹15.10),Voice,Vi Hero Unlimited 99,26-Oct-25,NA,Active,"ANE, APR, BIH, DEL, GUJ, HAR, HP, J&K, KAR, KER, KOL, MAH, MPCG, MUM, NE, ORI, PUN, RAJ, ROB, TN, UPE, UPW, WB",PAYG Calls | 0.2GB Total (Full Validity),26100564,3.Roaming Benefits,1.Roaming,Free National Roaming (Incoming+Outgoing),PLN-PRE-00001,Prepaid,Retail,Entry,Vi Hero Unlimited,Vodafone Idea,18,0.2GB Total (Full Validity),NA,0.2,GB,Pay-As-You-Go Calls,No SMS Benefit,0,No,Yes,No,NA,Free National Roaming,NA,NA,NA,No,64 Kbps,Call Center,Retail Outlet | Cash,Pan India,23,Q3 FY2025-26,NA,Live,Yes,0.2GB/Validity,64 Kbps,Vi Movies & TV Access,13-Aug-25,14-Jun-26
99,₹99.00 (GST Inclusive @18% | Base ₹83.90 + GST ₹15.10),Voice,Vi Hero Unlimited 99,26-Oct-25,NA,Active,"ANE, APR, BIH, DEL, GUJ, HAR, HP, J&K, KAR, KER, KOL, MAH, MPCG, MUM, NE, ORI, PUN, RAJ, ROB, TN, UPE, UPW, WB",PAYG Calls | 0.2GB Total (Full Validity),26100564,5.Additional Benefits,1.Additional Benefits,Vi Movies & TV Access,PLN-PRE-00001,Prepaid,Retail,Entry,Vi Hero Unlimited,Vodafone Idea,18,0.2GB Total (Full Validity),NA,0.2,GB,Pay-As-You-Go Calls,No SMS Benefit,0,No,Yes,No,NA,Free National Roaming,NA,NA,NA,No,64 Kbps,Call Center,Retail Outlet | Cash,Pan India,23,Q3 FY2025-26,NA,Live,Yes,0.2GB/Validity,64 Kbps,Vi Movies & TV Access,13-Aug-25,14-Jun-26
149,₹149.00 (GST Inclusive @18% | Base ₹126.27 + GST ₹22.73),Unlimited,Vi Hero Unlimited 149,01-Aug-25,NA,Active,"ANE, APR, BIH, DEL, GUJ, HAR, HP, J&K, KAR, KER, KOL, MAH, MPCG, MUM, NE, ORI, PUN, RAJ, ROB, TN, UPE, UPW, WB",UL Calls | 1GB/Day High-Speed Data | 100 SMS/Day,26101189,1.Telco Benefits,1.Voice,Unlimited Calls (Local+STD+NR),PLN-PRE-00002,Prepaid,Retail,Entry,Vi Hero Unlimited,Vodafone Idea,20,1GB/Day High-Speed Data,1,20,GB,Unlimited Calls (Local+STD+NR),100 SMS/Day,2000,No,Yes,No,NA,Free National Roaming,NA,NA,NA,No,64 Kbps,Retail Outlet,MyApp | UPI,Pan India,23,Q2 FY2025-26,NA,Live,Yes,1GB/Day,64 Kbps,Vi Movies & TV Access,24-Jun-25,18-Sep-25
149,₹149.00 (GST Inclusive @18% | Base ₹126.27 + GST ₹22.73),Unlimited,Vi Hero Unlimited 149,01-Aug-25,NA,Active,"ANE, APR, BIH, DEL, GUJ, HAR, HP, J&K, KAR, KER, KOL, MAH, MPCG, MUM, NE, ORI, PUN, RAJ, ROB, TN, UPE, UPW, WB",UL Calls | 1GB/Day High-Speed Data | 100 SMS/Day,26101189,1.Telco Benefits,2.Data,1GB/Day High-Speed Data,PLN-PRE-00002,Prepaid,Retail,Entry,Vi Hero Unlimited,Vodafone Idea,20,1GB/Day High-Speed Data,1,20,GB,Unlimited Calls (Local+STD+NR),100 SMS/Day,2000,No,Yes,No,NA,Free National Roaming,NA,NA,NA,No,64 Kbps,Retail Outlet,MyApp | UPI,Pan India,23,Q2 FY2025-26,NA,Live,Yes,1GB/Day,64 Kbps,Vi Movies & TV Access,24-Jun-25,18-Sep-25
149,₹149.00 (GST Inclusive @18% | Base ₹126.27 + GST ₹22.73),Unlimited,Vi Hero Unlimited 149,01-Aug-25,NA,Active,"ANE, APR, BIH, DEL, GUJ, HAR, HP, J&K, KAR, KER, KOL, MAH, MPCG, MUM, NE, ORI, PUN, RAJ, ROB, TN, UPE, UPW, WB",UL Calls | 1GB/Day High-Speed Data | 100 SMS/Day,26101189,1.Telco Benefits,2.Data,Post Daily FUP Speed: 64 Kbps,PLN-PRE-00002,Prepaid,Retail,Entry,Vi Hero Unlimited,Vodafone Idea,20,1GB/Day High-Speed Data,1,20,GB,Unlimited Calls (Local+STD+NR),100 SMS/Day,2000,No,Yes,No,NA,Free National Roaming,NA,NA,NA,No,64 Kbps,Retail Outlet,MyApp | UPI,Pan India,23,Q2 FY2025-26,NA,Live,Yes,1GB/Day,64 Kbps,Vi Movies & TV Access,24-Jun-25,18-Sep-25
149,₹149.00 (GST Inclusive @18% | Base ₹126.27 + GST ₹22.73),Unlimited,Vi Hero Unlimited 149,01-Aug-25,NA,Active,"ANE, APR, BIH, DEL, GUJ, HAR, HP, J&K, KAR, KER, KOL, MAH, MPCG, MUM, NE, ORI, PUN, RAJ, ROB, TN, UPE, UPW, WB",UL Calls | 1GB/Day High-Speed Data | 100 SMS/Day,26101189,1.Telco Benefits,3.SMS,100 SMS Per Day,PLN-PRE-00002,Prepaid,Retail,Entry,Vi Hero Unlimited,Vodafone Idea,20,1GB/Day High-Speed Data,1,20,GB,Unlimited Calls (Local+STD+NR),100 SMS/Day,2000,No,Yes,No,NA,Free National Roaming,NA,NA,NA,No,64 Kbps,Retail Outlet,MyApp | UPI,Pan India,23,Q2 FY2025-26,NA,Live,Yes,1GB/Day,64 Kbps,Vi Movies & TV Access,24-Jun-25,18-Sep-25
